ID Ticket GENERGY ;ID Ticket OCEANE;App;Description;Acteur;Périmètre ;Statut;Priorité;Actions réalisés;Date d'ouverture;Date de résolution;Durée de résolution;ID Jira
;2605F57589;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;Fichier rejoué;05/05/2026;05/05/2026;✅ Résolu en < 1 jour;
;2605F98877;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;06/05/2026;06/05/2026;✅ Résolu en < 1 jour;
;2604E22600;Sagic;activation demandée sur commande cédante mais pas d activation demandée sur attributaire . j en ai encore beaucoup d autres dans le même cas;Mariem Hammami;Support VIO;Résolu;P2;problème résolu;30/04/2026;06/05/2026;✅ Résolu en 4 jours;
;2605G31741;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;Fichier rejoué;07/05/2026;07/05/2026;✅ Résolu en < 1 jour;
;2605H96845;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;12/05/2026;12/05/2026 00:00;✅ Résolu en < 1 jour;
;2605H92220;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;Fichier rejoué;12/05/2026;12/05/2026;✅ Résolu en < 1 jour;
;2605H97269;Fop ;Dans le cadre de la fermeture du cuivre, je souhaiterai savoir si une commande de MIGRATION (ordre de commande au frontal) pour le DSL et le DGT est bloquée ou non;Akram Sahli ;Support VIO;Résolu;P3;"Le contrôle FCC (rejet HC13), lié à la fermeture commerciale du cuivre, n'est pas configuré sur l'acte de MIGRATION.
En conséquence, les commandes de migration DSL sont passantes sur les communes fermées au cuivre. L'absence de ce blocage sur le flux Migration est confirmée par le paramétrage actuel des contrôles de comportement dans FOP.";12/05/2026;13/05/2026;✅ Résolu en 1 jour;
;2605I14364;Sagic;Le fichier contenant les commandes de portabilité du dimanche est réceptionné correctement mais ce fichier est toujours vide.;Mariem Hammami;Support VIO;Résolu;P3;reponse envoyé par mail;12/05/2026;14/05/2026 00:00;✅ Résolu en 2 jours;
;2605K70580;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_FILES / Exists / idWAS_LOG_Log_reemission_fichiers_MOP_log ] : [Alarm #1 of global parameter 'Exists' triggered on 'SW_FILES.idWAS_LOG_Log_reemission_fichiers_MOP_log'. 0 <= 0.00 <= 0] ;Akram Sahli ;Support VIO;Résolu;P3;Fichier rejoué;20/05/2026;20/05/2026;✅ Résolu en < 1 jour;
;2605H98046;Sagic;Demande a traiter en back-office n'arrive pas dans la corbeille 8015 ;Mariem Hammami;Support VIO;Résolu;P3;reponse envoyé par mail;12/05/2026;22/05/2026;✅ Résolu en 8 jours;
;2605J94649;Fop ;"dans le fichier FRTE00VOIM00_MOP-M3_P_VOIM00_20260427120032_0.portcri il y a une erreur sur le champ 24 concernant la fiabilisation. Il y a beaucoup de numéro et la fiabilisation est dans le champ 14 puis dans le champ 24. 
En passant du champ 14 au champ 24, le format nest pas correct.
Le champ 24 devrait être formaté comme le champ 14 « « ND^NDI^SDA#nombre^^SDA#nombre ».";Mariem Hammami;Support VIO;Résolu;P3;reponse envoyé par mail;18/05/2026;22/05/2026;✅ Résolu en 4 jours;
;2605M96452;Vigie;problème vigie;Akram Sahli ;Support VIO;Résolu;P3;Le problème de l’application Vigie a bien été résolu.;28/05/2026;28/05/2026;✅ Résolu en < 1 jour;
;2605M96431;Sagic;Erreur a l'execution d'une requete;Mariem Hammami;Support VIO;Résolu;P3;"Bonjour,

Pouvez-vous nous apporter plus de précisions concernant la requête en erreur ?

La demande n’est pas très claire actuellement. Merci de nous transmettre, si possible :

la requête concernée,
le message d’erreur obtenu,
ainsi que le contexte d’exécution.";29/05/2026;29/05/2026;✅ Résolu en < 1 jour;
